reaction_time:0ship_height:1000,[nan]
reaction_time:10ship_height:1000,[1.]
reaction_time:20ship_height:1000,[1.]
reaction_time:30ship_height:1000,[1.]
reaction_time:40ship_height:1000,[1.]
reaction_time:50ship_height:1000,[1.]
reaction_time:60ship_height:1000,[1.]
reaction_time:70ship_height:1000,[1.]
reaction_time:80ship_height:1000,[1.]
reaction_time:90ship_height:1000,[1.]
reaction_time:100ship_height:1000,[0.99933333]
reaction_time:110ship_height:1000,[0.99836667]
reaction_time:120ship_height:1000,[0.99931034]
reaction_time:130ship_height:1000,[1.]
reaction_time:140ship_height:1000,[0.99887122]
reaction_time:150ship_height:1000,[0.99867236]
reaction_time:160ship_height:1000,[0.99962264]
reaction_time:170ship_height:1000,[0.99686987]
reaction_time:180ship_height:1000,[0.99809708]
reaction_time:190ship_height:1000,[0.99855491]
reaction_time:200ship_height:1000,[0.99793994]
reaction_time:210ship_height:1000,[0.99748741]
reaction_time:220ship_height:1000,[0.99890414]
reaction_time:230ship_height:1000,[0.99642174]
reaction_time:240ship_height:1000,[0.99698044]
reaction_time:250ship_height:1000,[0.99554916]
reaction_time:260ship_height:1000,[0.99561148]
reaction_time:270ship_height:1000,[0.99413107]
reaction_time:280ship_height:1000,[0.99671209]
reaction_time:290ship_height:1000,[0.99552303]
reaction_time:300ship_height:1000,[0.99521112]
reaction_time:310ship_height:1000,[0.99375164]
reaction_time:320ship_height:1000,[0.99069054]
reaction_time:330ship_height:1000,[0.99289651]
reaction_time:340ship_height:1000,[0.9906042]
reaction_time:350ship_height:1000,[0.9886889]
reaction_time:360ship_height:1000,[0.99086509]
reaction_time:370ship_height:1000,[0.9876609]
reaction_time:380ship_height:1000,[0.98825889]
reaction_time:390ship_height:1000,[0.98830396]
reaction_time:400ship_height:1000,[0.97946409]
reaction_time:410ship_height:1000,[0.97753611]
reaction_time:420ship_height:1000,[0.98350355]
reaction_time:430ship_height:1000,[0.97873813]
reaction_time:440ship_height:1000,[0.97138878]
reaction_time:450ship_height:1000,[0.9704214]
reaction_time:460ship_height:1000,[0.96708399]
reaction_time:470ship_height:1000,[0.97186255]
reaction_time:480ship_height:1000,[0.95775698]
reaction_time:490ship_height:1000,[0.95742781]
reaction_time:500ship_height:1000,[0.95917525]
reaction_time:510ship_height:1000,[0.95311998]
reaction_time:520ship_height:1000,[0.94996627]
reaction_time:530ship_height:1000,[0.94099341]
reaction_time:540ship_height:1000,[0.94140919]
reaction_time:550ship_height:1000,[0.937441]
reaction_time:560ship_height:1000,[0.92427808]
reaction_time:570ship_height:1000,[0.92268869]
reaction_time:580ship_height:1000,[0.91241353]
reaction_time:590ship_height:1000,[0.90498721]
