reaction_time:0ship_height:1000,[nan]
reaction_time:10ship_height:1000,[0.]
reaction_time:20ship_height:1000,[0.]
reaction_time:30ship_height:1000,[0.]
reaction_time:40ship_height:1000,[0.]
reaction_time:50ship_height:1000,[0.]
reaction_time:60ship_height:1000,[0.]
reaction_time:70ship_height:1000,[0.]
reaction_time:80ship_height:1000,[0.]
reaction_time:90ship_height:1000,[0.]
reaction_time:100ship_height:1000,[0.00466667]
reaction_time:110ship_height:1000,[0.0080034]
reaction_time:120ship_height:1000,[0.00482759]
reaction_time:130ship_height:1000,[0.]
reaction_time:140ship_height:1000,[0.00553499]
reaction_time:150ship_height:1000,[0.0052638]
reaction_time:160ship_height:1000,[0.00264151]
reaction_time:170ship_height:1000,[0.00900288]
reaction_time:180ship_height:1000,[0.01154595]
reaction_time:190ship_height:1000,[0.00495819]
reaction_time:200ship_height:1000,[0.00743302]
reaction_time:210ship_height:1000,[0.00713615]
reaction_time:220ship_height:1000,[0.00434772]
reaction_time:230ship_height:1000,[0.00680156]
reaction_time:240ship_height:1000,[0.00653426]
reaction_time:250ship_height:1000,[0.00752916]
reaction_time:260ship_height:1000,[0.01071598]
reaction_time:270ship_height:1000,[0.01018646]
reaction_time:280ship_height:1000,[0.00663245]
reaction_time:290ship_height:1000,[0.0063488]
reaction_time:300ship_height:1000,[0.0075512]
reaction_time:310ship_height:1000,[0.01025172]
reaction_time:320ship_height:1000,[0.00937535]
reaction_time:330ship_height:1000,[0.01240996]
reaction_time:340ship_height:1000,[0.01174525]
reaction_time:350ship_height:1000,[0.01154977]
reaction_time:360ship_height:1000,[0.00958013]
reaction_time:370ship_height:1000,[0.01263884]
reaction_time:380ship_height:1000,[0.01126609]
reaction_time:390ship_height:1000,[0.01251951]
reaction_time:400ship_height:1000,[0.01711594]
reaction_time:410ship_height:1000,[0.01505975]
reaction_time:420ship_height:1000,[0.01360475]
reaction_time:430ship_height:1000,[0.01426058]
reaction_time:440ship_height:1000,[0.01773051]
reaction_time:450ship_height:1000,[0.02048015]
reaction_time:460ship_height:1000,[0.0168443]
reaction_time:470ship_height:1000,[0.01992141]
reaction_time:480ship_height:1000,[0.02106441]
reaction_time:490ship_height:1000,[0.02136852]
reaction_time:500ship_height:1000,[0.01905345]
reaction_time:510ship_height:1000,[0.02127481]
reaction_time:520ship_height:1000,[0.02305674]
reaction_time:530ship_height:1000,[0.02751019]
reaction_time:540ship_height:1000,[0.02739354]
reaction_time:550ship_height:1000,[0.02398217]
reaction_time:560ship_height:1000,[0.03019212]
reaction_time:570ship_height:1000,[0.02599755]
reaction_time:580ship_height:1000,[0.03212307]
reaction_time:590ship_height:1000,[0.03412261]
