reaction_time:0ship_height:1000,[nan]
reaction_time:10ship_height:1000,[0.99444444]
reaction_time:20ship_height:1000,[0.996]
reaction_time:30ship_height:1000,[1.]
reaction_time:40ship_height:1000,[0.98306277]
reaction_time:50ship_height:1000,[0.99080952]
reaction_time:60ship_height:1000,[0.97958853]
reaction_time:70ship_height:1000,[0.97212522]
reaction_time:80ship_height:1000,[0.96656587]
reaction_time:90ship_height:1000,[0.96452216]
reaction_time:100ship_height:1000,[0.94584013]
reaction_time:110ship_height:1000,[0.94816709]
reaction_time:120ship_height:1000,[0.92551753]
reaction_time:130ship_height:1000,[0.91185468]
reaction_time:140ship_height:1000,[0.88727937]
reaction_time:150ship_height:1000,[0.86290819]
reaction_time:160ship_height:1000,[0.78510158]
reaction_time:170ship_height:1000,[0.69437196]
reaction_time:180ship_height:1000,[0.5553854]
reaction_time:190ship_height:1000,[0.35538092]
reaction_time:200ship_height:1000,[0.]
reaction_time:210ship_height:1000,[0.]
reaction_time:220ship_height:1000,[0.]
reaction_time:230ship_height:1000,[0.]
reaction_time:240ship_height:1000,[0.]
reaction_time:250ship_height:1000,[0.]
reaction_time:260ship_height:1000,[0.]
reaction_time:270ship_height:1000,[0.]
reaction_time:280ship_height:1000,[0.]
reaction_time:290ship_height:1000,[0.]
reaction_time:300ship_height:1000,[0.]
reaction_time:310ship_height:1000,[0.]
reaction_time:320ship_height:1000,[0.]
reaction_time:330ship_height:1000,[0.]
reaction_time:340ship_height:1000,[0.]
reaction_time:350ship_height:1000,[0.]
reaction_time:360ship_height:1000,[0.]
reaction_time:370ship_height:1000,[0.]
reaction_time:380ship_height:1000,[0.]
reaction_time:390ship_height:1000,[0.]
reaction_time:400ship_height:1000,[0.]
reaction_time:410ship_height:1000,[0.]
reaction_time:420ship_height:1000,[0.]
reaction_time:430ship_height:1000,[0.]
reaction_time:440ship_height:1000,[0.]
reaction_time:450ship_height:1000,[0.]
reaction_time:460ship_height:1000,[0.]
reaction_time:470ship_height:1000,[0.]
reaction_time:480ship_height:1000,[0.]
reaction_time:490ship_height:1000,[0.]
reaction_time:500ship_height:1000,[0.]
reaction_time:510ship_height:1000,[0.]
reaction_time:520ship_height:1000,[0.]
reaction_time:530ship_height:1000,[0.]
reaction_time:540ship_height:1000,[0.]
reaction_time:550ship_height:1000,[0.]
reaction_time:560ship_height:1000,[0.]
reaction_time:570ship_height:1000,[0.]
reaction_time:580ship_height:1000,[0.]
reaction_time:590ship_height:1000,[0.]
