reaction_time:0ship_height:1000,[nan]
reaction_time:10ship_height:1000,[0.03685139]
reaction_time:20ship_height:1000,[0.028]
reaction_time:30ship_height:1000,[0.]
reaction_time:40ship_height:1000,[0.04732877]
reaction_time:50ship_height:1000,[0.0288705]
reaction_time:60ship_height:1000,[0.04160865]
reaction_time:70ship_height:1000,[0.04569988]
reaction_time:80ship_height:1000,[0.04638785]
reaction_time:90ship_height:1000,[0.03146507]
reaction_time:100ship_height:1000,[0.05024932]
reaction_time:110ship_height:1000,[0.05631717]
reaction_time:120ship_height:1000,[0.05068985]
reaction_time:130ship_height:1000,[0.05361457]
reaction_time:140ship_height:1000,[0.05413242]
reaction_time:150ship_height:1000,[0.06484341]
reaction_time:160ship_height:1000,[0.07424127]
reaction_time:170ship_height:1000,[0.0687007]
reaction_time:180ship_height:1000,[0.07040484]
reaction_time:190ship_height:1000,[0.06322715]
reaction_time:200ship_height:1000,[0.]
reaction_time:210ship_height:1000,[0.]
reaction_time:220ship_height:1000,[0.]
reaction_time:230ship_height:1000,[0.]
reaction_time:240ship_height:1000,[0.]
reaction_time:250ship_height:1000,[0.]
reaction_time:260ship_height:1000,[0.]
reaction_time:270ship_height:1000,[0.]
reaction_time:280ship_height:1000,[0.]
reaction_time:290ship_height:1000,[0.]
reaction_time:300ship_height:1000,[0.]
reaction_time:310ship_height:1000,[0.]
reaction_time:320ship_height:1000,[0.]
reaction_time:330ship_height:1000,[0.]
reaction_time:340ship_height:1000,[0.]
reaction_time:350ship_height:1000,[0.]
reaction_time:360ship_height:1000,[0.]
reaction_time:370ship_height:1000,[0.]
reaction_time:380ship_height:1000,[0.]
reaction_time:390ship_height:1000,[0.]
reaction_time:400ship_height:1000,[0.]
reaction_time:410ship_height:1000,[0.]
reaction_time:420ship_height:1000,[0.]
reaction_time:430ship_height:1000,[0.]
reaction_time:440ship_height:1000,[0.]
reaction_time:450ship_height:1000,[0.]
reaction_time:460ship_height:1000,[0.]
reaction_time:470ship_height:1000,[0.]
reaction_time:480ship_height:1000,[0.]
reaction_time:490ship_height:1000,[0.]
reaction_time:500ship_height:1000,[0.]
reaction_time:510ship_height:1000,[0.]
reaction_time:520ship_height:1000,[0.]
reaction_time:530ship_height:1000,[0.]
reaction_time:540ship_height:1000,[0.]
reaction_time:550ship_height:1000,[0.]
reaction_time:560ship_height:1000,[0.]
reaction_time:570ship_height:1000,[0.]
reaction_time:580ship_height:1000,[0.]
reaction_time:590ship_height:1000,[0.]
