Case Description,Case #,epoch number,run time (s),grid width (m),ship height (m),ship number,ship speeds (m/s),ship heading (deg),angle of detection (deg),data detection function,ship reaction time (s),whale number,mean whale velocity (m/s),std whale velocity (m/s),Interval btw blows (s),All whales blow,All whales surface,All whales subsurface,All whales deep,dive profile mode,plot probabilities,plot world,ETA display,Keep?
SC_Allblowing,case1,10,3600,4000,"1500,3000",3,"1,2,3,4,5,6,7,8, 9,10,11,12,13,14,15",90,20,0,"60,120",100,0,0,60,1,0,0,0,mixed,1,1,0,
SC_Allsurf,case2,10,3600,4000,"1500,3000",3,"1,2,3,4,5,6,7,8, 9,10,11,12,13,14,15",90,20,0,"60,120",100,0,0,60,0,1,0,0,mixed,1,1,0,
SC_Allsub,case3,10,3600,4000,"1500,3000",3,"1,2,3,4,5,6,7,8, 9,10,11,12,13,14,15",90,20,0,"60,120",100,0,0,60,0,0,1,0,mixed,1,1,0,
SC_Alldeep,case4,10,3600,4000,"1500,3000",3,"1,2,3,4,5,6,7,8, 9,10,11,12,13,14,15",90,20,0,"60,120",100,0,0,60,0,0,0,1,mixed,1,1,0,
WhaleSpeed_0,case5,10,3600,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8, 9,10,11,12,13,14,15",90,20,1,"60,120",100,0,0,60,0,0,0,0,mixed,1,1,0,K
WhaleSpeed_1,case6,10,3600,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8, 9,10,11,12,13,14,15",90,20,1,"60,120",100,1,0.2,60,0,0,0,0,mixed,1,1,0,K
WhaleSpeed_2,case7,10,3600,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8, 9,10,11,12,13,14,15",90,20,1,"60,120",100,2,0.2,60,0,0,0,0,mixed,1,1,0,K
WhaleSpeed_3,case8,10,3600,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8, 9,10,11,12,13,14,15",90,20,1,"60,120",100,3,0.2,60,0,0,0,0,mixed,1,1,0,K
IBI_15_DDF_mixed,case9,10,3600,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8, 9,10,11,12,13,14,15",90,20,0,"60,120",100,1,0.2,15,0,0,0,0,mixed,1,1,0,K
IBI_30_DDF_mixed,case10,10,3600,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8, 9,10,11,12,13,14,15",90,20,0,"60,120",100,1,0.2,30,0,0,0,0,mixed,1,1,0,K
IBI_60_DDF_mixed,case11,10,3600,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8, 9,10,11,12,13,14,15",90,20,0,"60,120",100,1,0.2,60,0,0,0,0,mixed,1,1,0,K
IBI_120_DDF_mixed,case12,10,3600,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8, 9,10,11,12,13,14,15",90,20,0,"60,120",100,1,0.2,120,0,0,0,0,mixed,1,1,0,K
IBI_15_DDF_mixed,case13,10,3600,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8, 9,10,11,12,13,14,15",90,20,1,"60,120",100,1,0.2,15,0,0,0,0,mixed,1,1,0,K
IBI_30_DDF_mixed,case14,10,3600,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8, 9,10,11,12,13,14,15",90,20,1,"60,120",100,1,0.2,30,0,0,0,0,mixed,1,1,0,K
IBI_60_DDF_mixed,case15,10,3600,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8, 9,10,11,12,13,14,15",90,20,1,"60,120",100,1,0.2,60,0,0,0,0,mixed,1,1,0,K
IBI_120_DDF_mixed,case16,10,3600,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8, 9,10,11,12,13,14,15",90,20,1,"60,120",100,1,0.2,120,0,0,0,0,mixed,1,1,0,K
IBI_15_DDF_shallow,case17,10,3600,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8, 9,10,11,12,13,14,15",90,20,0,"60,120",100,1,0.2,15,0,0,0,0,shallow,1,1,0,K
IBI_30_DDF_shallow,case18,10,3600,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8, 9,10,11,12,13,14,15",90,20,0,"60,120",100,1,0.2,30,0,0,0,0,shallow,1,1,0,K
IBI_60_DDF_shallow,case19,10,3600,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8, 9,10,11,12,13,14,15",90,20,0,"60,120",100,1,0.2,60,0,0,0,0,shallow,1,1,0,K
IBI_120_DDF_shallow,case20,10,3600,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8, 9,10,11,12,13,14,15",90,20,0,"60,120",100,1,0.2,120,0,0,0,0,shallow,1,1,0,K
IBI_15_DDF_shallow,case21,10,3600,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8, 9,10,11,12,13,14,15",90,20,1,"60,120",100,1,0.2,15,0,0,0,0,shallow,1,1,0,K
IBI_30_DDF_shallow,case22,10,3600,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8, 9,10,11,12,13,14,15",90,20,1,"60,120",100,1,0.2,30,0,0,0,0,shallow,1,1,0,K
IBI_60_DDF_shallow,case23,10,3600,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8, 9,10,11,12,13,14,15",90,20,1,"60,120",100,1,0.2,60,0,0,0,0,shallow,1,1,0,K
IBI_120_DDF_shallow,case24,10,3600,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8, 9,10,11,12,13,14,15",90,20,1,"60,120",100,1,0.2,120,0,0,0,0,shallow,1,1,0,K
IBI_15_DDF_deep,case25,10,3600,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8, 9,10,11,12,13,14,15",90,20,0,"60,120",100,1,0.2,15,0,0,0,0,deep,1,1,0,K
IBI_30_DDF_deep,case26,10,3600,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8, 9,10,11,12,13,14,15",90,20,0,"60,120",100,1,0.2,30,0,0,0,0,deep,1,1,0,K
IBI_60_DDF_deep,case27,10,3600,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8, 9,10,11,12,13,14,15",90,20,0,"60,120",100,1,0.2,60,0,0,0,0,deep,1,1,0,K
