reaction_time:60ship_height:500,"[       nan 0.         0.         0.         0.         0.
 0.05528336 0.07961183 0.02212163 0.07243294 0.04491931 0.04429474
 0.06121688 0.08184313 0.04627587]"
reaction_time:60ship_height:1000,"[0.         0.         0.         0.         0.         0.01717668
 0.         0.05796053 0.04129624 0.0424973  0.04370381 0.05098727
 0.04522837 0.05587792 0.04671508]"
reaction_time:60ship_height:1500,"[0.         0.         0.         0.         0.04358899 0.
 0.04358899 0.01452966 0.01452966 0.00947587 0.03566474 0.03404086
 0.0339436  0.05327576 0.03589376]"
reaction_time:60ship_height:2000,"[0.         0.         0.         0.         0.         0.
 0.01981318 0.         0.03929791 0.03414862 0.02608809 0.05077425
 0.02804876 0.04131008 0.03555505]"
reaction_time:60ship_height:3000,"[0.         0.         0.         0.         0.         0.
 0.05221619 0.         0.01362156 0.03285036 0.01716464 0.01290774
 0.02766545 0.0227126  0.02969286]"
reaction_time:300ship_height:500,"[0.         0.         0.         0.0511896  0.04307511 0.08268154
 0.08522309 0.06852844 0.05828194 0.06904006 0.04852514 0.03382527
 0.02609501 0.02642921 0.01738947]"
reaction_time:300ship_height:1000,"[0.         0.         0.         0.01147079 0.05368552 0.04272661
 0.04860555 0.04454129 0.05949386 0.04203415 0.0661459  0.05131064
 0.04057147 0.02939267 0.02244804]"
reaction_time:300ship_height:1500,"[0.         0.         0.         0.02145078 0.04117494 0.0418571
 0.05027283 0.04668743 0.05522256 0.06965449 0.04366504 0.04138102
 0.04095501 0.02968203 0.03651772]"
reaction_time:300ship_height:2000,"[0.         0.         0.         0.         0.01453064 0.03359885
 0.04070092 0.03288301 0.0517108  0.05771086 0.04939332 0.05960956
 0.03704695 0.03193234 0.03249731]"
reaction_time:300ship_height:3000,"[0.         0.         0.         0.         0.01227234 0.01293145
 0.02213558 0.02698878 0.03301664 0.0360675  0.03788239 0.0456731
 0.04118786 0.03636127 0.05003463]"
reaction_time:600ship_height:500,"[0.         0.03632416 0.06337601 0.07996207 0.11449366 0.05896983
 0.05382534 0.02909869 0.0198601  0.01662735 0.00752605 0.00842037
 0.00290162 0.00169738 0.        ]"
reaction_time:600ship_height:1000,"[0.         0.         0.03274787 0.06927015 0.06817931 0.06883479
 0.06117208 0.04371715 0.03049432 0.02030006 0.01142617 0.00644313
 0.00456912 0.00409419 0.00154589]"
reaction_time:600ship_height:1500,"[0.         0.         0.02236554 0.05328878 0.0509661  0.07774548
 0.07154161 0.03659698 0.02533019 0.020326   0.01482796 0.01287936
 0.00581886 0.00434059 0.0021607 ]"
reaction_time:600ship_height:2000,"[0.         0.         0.         0.02522238 0.06135531 0.06653596
 0.06925404 0.057601   0.04698976 0.03488846 0.0155191  0.01355389
 0.01516864 0.00903903 0.01599176]"
reaction_time:600ship_height:3000,"[0.         0.         0.         0.         0.02591202 0.04462569
 0.04811792 0.07230524 0.05638965 0.04575696 0.0379348  0.03075179
 0.01796925 0.02085703 0.02055337]"
