reaction_time:60ship_height:500,"[       nan 1.         1.         1.         1.         1.
 0.995      0.98401099 0.99083333 0.98768588 0.98162102 0.97152339
 0.97920883 0.9842589  0.97974729]"
reaction_time:60ship_height:1000,"[1.         1.         1.         1.         1.         1.
 1.         0.99705882 0.98401099 0.99473684 0.98437579 0.97626392
 0.99009104 0.98204932 0.97338126]"
reaction_time:60ship_height:1500,"[1.         1.         1.         1.         1.         0.9875
 0.996875   0.99285714 1.         0.99545455 0.99541667 0.99059064
 0.9765527  0.97504355 0.98170193]"
reaction_time:60ship_height:2000,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.99545455 1.         0.98579745 0.98912934
 0.98012743 0.98945853 0.97793339]"
reaction_time:60ship_height:3000,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.99722222 0.995      1.         0.99375
 0.99288645 0.99254231 0.99381921]"
reaction_time:300ship_height:500,"[1.         1.         1.         0.99615385 0.9743803  0.94100002
 0.90934321 0.8278355  0.77953489 0.64796753 0.58867578 0.44102343
 0.34660233 0.26601795 0.20233188]"
reaction_time:300ship_height:1000,"[1.         1.         1.         0.99220969 0.9905506  0.97184086
 0.95014833 0.90509782 0.84715026 0.79480975 0.68711561 0.57422997
 0.50446749 0.39621049 0.293498  ]"
reaction_time:300ship_height:1500,"[1.         1.         1.         1.         0.99486293 0.97183778
 0.97039848 0.9318127  0.88121875 0.85946081 0.78265155 0.71085824
 0.61460167 0.52765926 0.42781421]"
reaction_time:300ship_height:2000,"[1.         1.         1.         1.         1.         0.9923952
 0.98452965 0.95957766 0.92797808 0.90189873 0.88233165 0.83351329
 0.77103261 0.68696727 0.5949185 ]"
reaction_time:300ship_height:3000,"[1.         1.         1.         1.         1.         0.99886364
 0.98874627 0.98649331 0.96741909 0.96079531 0.93109046 0.91465022
 0.88780737 0.86241494 0.82397982]"
reaction_time:600ship_height:500,"[1.         1.         0.99230769 0.95977458 0.78958383 0.5590282
 0.38721763 0.2184234  0.10778926 0.07347446 0.03342135 0.016999
 0.00641529 0.00156167 0.        ]"
reaction_time:600ship_height:1000,"[1.         1.         1.         0.95846021 0.88697195 0.73892289
 0.51560288 0.31006573 0.17386    0.09290743 0.0499568  0.02958203
 0.01233742 0.006898   0.        ]"
reaction_time:600ship_height:1500,"[1.         1.         1.         0.98494503 0.90407152 0.83348246
 0.64366508 0.44022549 0.27326336 0.14029694 0.09496796 0.05142379
 0.02427518 0.00985449 0.00616822]"
reaction_time:600ship_height:2000,"[1.         1.         1.         0.9975     0.96153092 0.91270798
 0.80190124 0.62462039 0.4308276  0.27856612 0.19368371 0.15195699
 0.12295896 0.10529097 0.10396995]"
reaction_time:600ship_height:3000,"[1.         1.         1.         1.         0.98897107 0.97288449
 0.91100274 0.82772187 0.72288793 0.57612322 0.41743036 0.31623302
 0.26622555 0.22933464 0.21558776]"
