reaction_time:60ship_height:500,"[       nan 1.         1.         1.         1.         1.
 1.         0.995      0.98533032 0.99484127 0.99231792 0.99325086
 0.98338847 0.97827615 0.97526163]"
reaction_time:60ship_height:1000,"[1.         1.         1.         1.         1.         1.
 0.96666667 0.99022556 0.995      0.98515006 0.99085372 0.99648148
 0.99438988 0.99036185 0.98381659]"
reaction_time:60ship_height:1500,"[1.         1.         1.         1.         1.         0.99375
 0.99642857 1.         1.         1.         0.99150423 0.99621212
 0.98857779 0.99129299 0.98551742]"
reaction_time:60ship_height:2000,"[1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.99642857 0.99652941 0.98945804
 0.99358824 0.99187957 0.99168713]"
reaction_time:60ship_height:3000,"[1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         0.99590301 0.99625
 0.99148613 0.99579365 0.99658933]"
reaction_time:300ship_height:500,"[1.         1.         1.         0.99403509 0.99417887 0.9809663
 0.92257086 0.87978514 0.77628969 0.66192102 0.55645704 0.43434829
 0.33160159 0.24792687 0.17500432]"
reaction_time:300ship_height:1000,"[1.         1.         1.         1.         0.99852941 0.99263388
 0.9649672  0.92072211 0.88430783 0.80533178 0.70318283 0.56690886
 0.47089773 0.3623054  0.28629771]"
reaction_time:300ship_height:1500,"[1.         1.         1.         1.         1.         0.98889021
 0.98090702 0.95717216 0.94780591 0.8801109  0.81817393 0.73584309
 0.60880074 0.50480821 0.39318176]"
reaction_time:300ship_height:2000,"[1.         1.         1.         1.         1.         0.99750446
 0.98572109 0.97303919 0.96112257 0.94028854 0.91033058 0.8544924
 0.76243231 0.66932433 0.56723015]"
reaction_time:300ship_height:3000,"[1.         1.         1.         1.         1.         1.
 0.98768244 0.98998084 0.98323995 0.97033649 0.96116624 0.95197717
 0.92891015 0.90014814 0.8462713 ]"
reaction_time:600ship_height:500,"[1.         1.         0.98543113 0.93828431 0.79371845 0.56475562
 0.31844883 0.20942225 0.10480727 0.06313006 0.02443098 0.01303352
 0.00593052 0.00136496 0.        ]"
reaction_time:600ship_height:1000,"[1.00000000e+00 1.00000000e+00 9.97058824e-01 9.85666831e-01
 8.99055546e-01 7.06430041e-01 4.89944562e-01 3.07539423e-01
 1.67054782e-01 8.72617191e-02 4.58898177e-02 2.64457320e-02
 1.08373244e-02 6.27730666e-03 6.54265321e-04]"
reaction_time:600ship_height:1500,"[1.         1.         1.         0.98812137 0.95860776 0.8381903
 0.63389464 0.44360917 0.24955066 0.13091571 0.08357801 0.04040418
 0.01533684 0.00942469 0.00523201]"
reaction_time:600ship_height:2000,"[1.         1.         1.         0.99248918 0.97172324 0.929681
 0.77561532 0.62137504 0.39647062 0.26140599 0.16479395 0.13065146
 0.11294936 0.09536667 0.08905269]"
reaction_time:600ship_height:3000,"[1.         1.         1.         0.99827586 0.99328571 0.98106343
 0.92930766 0.85541497 0.68980234 0.53313299 0.37691601 0.30622258
 0.24268965 0.21030477 0.19813744]"
