reaction_time:60ship_height:500,"[       nan 1.         1.         1.         1.         1.
 0.9775     0.95483947 0.99270833 0.94252289 0.94517875 0.94205886
 0.93471547 0.89014464 0.89442727]"
reaction_time:60ship_height:1000,"[1.         1.         1.         1.         1.         0.99595142
 1.         0.97379274 0.97664627 0.96473846 0.96941964 0.95498341
 0.9420986  0.93765056 0.9216528 ]"
reaction_time:60ship_height:1500,"[1.         1.         1.         1.         0.99       1.
 0.99       0.99666667 0.99666667 0.99782609 0.97846341 0.97757567
 0.95731719 0.94665803 0.94011369]"
reaction_time:60ship_height:2000,"[1.         1.         1.         1.         1.         1.
 0.99545455 1.         0.98235043 0.97686788 0.98255095 0.96103455
 0.98192869 0.96778561 0.96059774]"
reaction_time:60ship_height:3000,"[1.         1.         1.         1.         1.         1.
 0.98285714 1.         0.996875   0.98431287 0.99428105 0.99577586
 0.97912664 0.98682683 0.97243752]"
reaction_time:300ship_height:500,"[1.         1.         1.         0.95940472 0.93948301 0.86946265
 0.78034219 0.66985034 0.54148414 0.4432877  0.34150306 0.23737536
 0.1685237  0.12606098 0.09318149]"
reaction_time:300ship_height:1000,"[1.         1.         1.         0.99736842 0.95585305 0.93902017
 0.88220235 0.78504271 0.67113946 0.56200876 0.45897567 0.36216675
 0.28219316 0.19958718 0.13797398]"
reaction_time:300ship_height:1500,"[1.         1.         1.         0.99122024 0.97695563 0.95290313
 0.9130078  0.86150018 0.7851362  0.68749931 0.58184317 0.48701757
 0.39929586 0.30305137 0.21806917]"
reaction_time:300ship_height:2000,"[1.         1.         1.         1.         0.99275734 0.95854939
 0.94307038 0.9199621  0.85170424 0.79481482 0.71648574 0.63325751
 0.52988954 0.4242444  0.33864421]"
reaction_time:300ship_height:3000,"[1.         1.         1.         1.         0.99594156 0.99585327
 0.97990526 0.96786504 0.94038516 0.90844625 0.8713813  0.83043413
 0.76406144 0.69126295 0.62615724]"
reaction_time:600ship_height:500,"[1.00000000e+00 9.91666667e-01 9.42820097e-01 8.16851934e-01
 5.30842148e-01 3.42366579e-01 2.10007563e-01 1.05041926e-01
 5.89089619e-02 3.29249539e-02 1.09006234e-02 9.05176962e-03
 3.33568393e-03 7.12242409e-04 0.00000000e+00]"
reaction_time:600ship_height:1000,"[1.00000000e+00 1.00000000e+00 9.86287879e-01 8.97011379e-01
 7.61244569e-01 5.10841611e-01 3.02666032e-01 1.70502863e-01
 8.90450228e-02 5.15263487e-02 2.51562277e-02 8.48875556e-03
 4.32161439e-03 4.30590989e-03 6.49383102e-04]"
reaction_time:600ship_height:1500,"[1.         1.         0.99282297 0.94208218 0.82546648 0.64642846
 0.42557887 0.24745505 0.14522148 0.07081876 0.03467989 0.02282099
 0.00954184 0.0062618  0.00158382]"
reaction_time:600ship_height:2000,"[1.         1.         1.         0.98551537 0.92409322 0.78536579
 0.55579472 0.3829896  0.22510796 0.15062584 0.09558396 0.07156659
 0.06255672 0.04990825 0.04477366]"
reaction_time:600ship_height:3000,"[1.         1.         1.         1.         0.97922147 0.91567142
 0.81017546 0.65131109 0.47493024 0.32501942 0.21101455 0.1498128
 0.13974969 0.10772555 0.09855129]"
