reaction_time:60ship_height:500,"[       nan 1.         1.         1.         1.         1.
 1.         1.         0.99642857 0.98519014 0.98938231 0.98091398
 0.97427397 0.97310682 0.97133457]"
reaction_time:60ship_height:1000,"[1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.9952381  0.98492899 0.99371429
 0.98124876 0.98667215 0.99036867]"
reaction_time:60ship_height:1500,"[1.         1.         1.         1.         1.         1.
 1.         0.99403509 0.99705882 0.99494949 0.99772727 0.99124409
 0.98277721 0.9888307  0.97908243]"
reaction_time:60ship_height:2000,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.99305556 0.99322222 0.98956349 0.99660138
 0.99833333 0.9895245  0.99503178]"
reaction_time:60ship_height:3000,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.99330357 0.994875   0.99791667 0.9968985
 0.99814815 1.         0.997     ]"
reaction_time:300ship_height:500,"[1.         1.         1.         0.99428105 0.97527869 0.952612
 0.903769   0.84369388 0.71593185 0.58718558 0.500113   0.3643365
 0.28538187 0.20372548 0.14939655]"
reaction_time:300ship_height:1000,"[1.         1.         1.         1.         0.99412479 0.96438119
 0.94271238 0.91875186 0.85335115 0.74226839 0.64340714 0.52745741
 0.40422472 0.30068383 0.23008153]"
reaction_time:300ship_height:1500,"[1.         1.         1.         1.         0.99177843 0.99446586
 0.97846853 0.95845062 0.89968103 0.85751402 0.75571659 0.66542199
 0.54720715 0.42778478 0.33765799]"
reaction_time:300ship_height:2000,"[1.         1.         1.         0.99722222 0.99772727 0.9825983
 0.98788624 0.98166484 0.96006805 0.91439324 0.84917714 0.79544064
 0.7169019  0.61194718 0.50138924]"
reaction_time:300ship_height:3000,"[1.         1.         1.         1.         1.         0.99738095
 0.99435008 0.98642184 0.97963756 0.96738051 0.94024125 0.93259232
 0.90076934 0.8482644  0.79366222]"
reaction_time:600ship_height:500,"[1.         1.         0.99409722 0.94352985 0.71859459 0.50724099
 0.31660148 0.16059833 0.09327464 0.04195912 0.02337603 0.01091904
 0.00514016 0.00142696 0.        ]"
reaction_time:600ship_height:1000,"[1.         1.         0.99761905 0.97335094 0.87754715 0.63345546
 0.41956396 0.26990491 0.13029482 0.07054686 0.0369687  0.0197227
 0.01027946 0.0038499  0.00109777]"
reaction_time:600ship_height:1500,"[1.         1.         1.         0.98943657 0.92151241 0.80203504
 0.59918143 0.35752117 0.20368426 0.11957702 0.06587294 0.03113031
 0.01637634 0.00845595 0.00427553]"
reaction_time:600ship_height:2000,"[1.         1.         1.         0.99237159 0.956948   0.8996274
 0.75440959 0.52742678 0.35256846 0.22786905 0.1503517  0.10628846
 0.09013915 0.07948911 0.07514906]"
reaction_time:600ship_height:3000,"[1.         1.         1.         1.         0.99642401 0.97472098
 0.9291527  0.81453055 0.63751613 0.47213503 0.32993255 0.24199553
 0.19926458 0.17450347 0.16839646]"
