reaction_time:60ship_height:500,"[       nan 0.         0.         0.         0.         0.
 0.         0.         0.0155675  0.0305687  0.02149902 0.0250665
 0.03080882 0.0231154  0.02252692]"
reaction_time:60ship_height:1000,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.02075666 0.02770907 0.01514151
 0.02400138 0.02246085 0.01223925]"
reaction_time:60ship_height:1500,"[0.         0.         0.         0.         0.         0.
 0.         0.01803181 0.01282029 0.01523546 0.00990659 0.01938181
 0.02996781 0.01943558 0.02771421]"
reaction_time:60ship_height:2000,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.02129126 0.02069741 0.02093084 0.01021049
 0.00726483 0.02089483 0.01022273]"
reaction_time:60ship_height:3000,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.02013883 0.01578122 0.00908104 0.00942243
 0.00807204 0.         0.00953939]"
reaction_time:300ship_height:500,"[0.         0.         0.         0.01716464 0.03475385 0.03919515
 0.04793036 0.05545875 0.04229899 0.05637042 0.06341065 0.05182754
 0.03854456 0.03632216 0.030934  ]"
reaction_time:300ship_height:1000,"[0.         0.         0.         0.         0.01428713 0.04138911
 0.03556746 0.03309713 0.04325243 0.06016721 0.04516671 0.04700953
 0.0390293  0.03413125 0.03669299]"
reaction_time:300ship_height:1500,"[0.         0.         0.         0.         0.01651609 0.01118825
 0.02548739 0.0258164  0.03703502 0.03928287 0.05511276 0.03861709
 0.03992153 0.04374096 0.03820803]"
reaction_time:300ship_height:2000,"[0.         0.         0.         0.01210805 0.00990659 0.03468248
 0.01658518 0.02454291 0.03083574 0.03430657 0.03545888 0.03764047
 0.02686604 0.0431624  0.03177114]"
reaction_time:300ship_height:3000,"[0.         0.         0.         0.         0.         0.00789314
 0.01455244 0.01680795 0.0159705  0.02067267 0.03129583 0.02268065
 0.02808624 0.03230198 0.03409333]"
reaction_time:600ship_height:500,"[0.         0.         0.01774234 0.04022406 0.06678163 0.08306545
 0.06245527 0.04274812 0.02426819 0.01285454 0.00989882 0.00798551
 0.00467488 0.00258982 0.        ]"
reaction_time:600ship_height:1000,"[0.         0.         0.01037833 0.02842474 0.05855385 0.0723655
 0.0675429  0.04763515 0.02467183 0.0258401  0.01242296 0.01194485
 0.00794248 0.00442822 0.00235036]"
reaction_time:600ship_height:1500,"[0.         0.         0.         0.02152855 0.03373412 0.09374563
 0.07311486 0.06079762 0.03680634 0.02820905 0.01885712 0.01712021
 0.01027576 0.00806718 0.00332471]"
reaction_time:600ship_height:2000,"[0.         0.         0.         0.02185769 0.03917763 0.05900311
 0.06560051 0.05952817 0.05234219 0.03770231 0.02798139 0.02275699
 0.02163896 0.01499232 0.01218626]"
reaction_time:600ship_height:3000,"[0.         0.         0.         0.         0.01073557 0.02394163
 0.03226386 0.04073538 0.07334618 0.03541465 0.05067004 0.03315035
 0.02294786 0.02686625 0.02290503]"
