reaction_time:60ship_height:500,"[       nan 0.         0.         0.         0.         0.
 0.         0.02179449 0.04144577 0.01552698 0.01836073 0.01737672
 0.02641088 0.02619251 0.02451403]"
reaction_time:60ship_height:1000,"[0.         0.         0.         0.         0.         0.
 0.14529663 0.0326094  0.02179449 0.03010141 0.02277285 0.01057179
 0.01364877 0.01328279 0.01987148]"
reaction_time:60ship_height:1500,"[0.         0.         0.         0.         0.         0.02724312
 0.0155675  0.         0.         0.         0.01752152 0.01161342
 0.02257686 0.01577228 0.02232116]"
reaction_time:60ship_height:2000,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.0155675  0.0105455  0.02206797
 0.01298642 0.01882276 0.0152935 ]"
reaction_time:60ship_height:3000,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.01231654 0.0113269
 0.01328232 0.0101671  0.00815912]"
reaction_time:300ship_height:500,"[0.         0.         0.         0.01803181 0.01393018 0.02108713
 0.03780529 0.04464957 0.05185175 0.07429178 0.04420476 0.0432339
 0.04162578 0.03710387 0.03094175]"
reaction_time:300ship_height:1000,"[0.         0.         0.         0.         0.00641015 0.01320024
 0.02691883 0.03809979 0.0402958  0.0412737  0.05577875 0.0488747
 0.0359744  0.05333667 0.03102212]"
reaction_time:300ship_height:1500,"[0.         0.         0.         0.         0.         0.01876875
 0.02278767 0.03094566 0.02676044 0.04334484 0.04874585 0.03667251
 0.04664502 0.05435297 0.03670664]"
reaction_time:300ship_height:2000,"[0.         0.         0.         0.         0.         0.00767524
 0.01749619 0.02460017 0.03252335 0.02988585 0.03171515 0.03603344
 0.03775573 0.04351964 0.03475029]"
reaction_time:300ship_height:3000,"[0.         0.         0.         0.         0.         0.
 0.01985201 0.01106817 0.01478874 0.01643967 0.02879929 0.02355357
 0.02120895 0.02952967 0.02913423]"
reaction_time:600ship_height:500,"[0.         0.         0.03166102 0.06276115 0.06218955 0.08032002
 0.0650647  0.04628078 0.02968131 0.01453374 0.01081235 0.00757286
 0.00472938 0.00253881 0.        ]"
reaction_time:600ship_height:1000,"[0.         0.         0.01282029 0.02568943 0.06473167 0.05113139
 0.07634761 0.059514   0.03572308 0.02462139 0.01756501 0.01306825
 0.00685716 0.0064545  0.00155909]"
reaction_time:600ship_height:1500,"[0.         0.         0.         0.02399103 0.03634456 0.04459596
 0.05649235 0.06209591 0.03403674 0.02722122 0.01992958 0.01104503
 0.00648725 0.00578709 0.00370124]"
reaction_time:600ship_height:2000,"[0.         0.         0.         0.01798714 0.02923855 0.02777232
 0.04781728 0.03909236 0.04917495 0.04348323 0.03670557 0.01827536
 0.02133114 0.02091645 0.02486453]"
reaction_time:600ship_height:3000,"[0.         0.         0.         0.00751534 0.01957247 0.02033795
 0.03807392 0.0463229  0.05133694 0.05386822 0.04304714 0.03835825
 0.04042308 0.02488479 0.02059522]"
