reaction_time:60ship_height:500,"[       nan 1.         1.         1.         1.         1.
 1.         0.996875   0.99231792 0.98839869 0.98312371 0.97450169
 0.9718714  0.96336565 0.96795249]"
reaction_time:60ship_height:1000,"[1.         1.         1.         1.         1.         0.99166667
 1.         0.996875   0.99642857 0.99772727 0.99479167 0.9789638
 0.97880095 0.96635107 0.96522567]"
reaction_time:60ship_height:1500,"[1.         1.         1.         1.         1.         1.
 0.99166667 1.         0.99722222 0.996875   0.99442724 0.98314795
 0.99361305 0.98881662 0.98013831]"
reaction_time:60ship_height:2000,"[       nan 1.         1.         1.         1.         1.
 1.         0.995      1.         0.99238491 0.9957672  0.99048785
 0.99127717 0.99763889 0.98979264]"
reaction_time:60ship_height:3000,"[1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 0.99520833 0.99319507 0.99880952]"
reaction_time:300ship_height:500,"[1.         1.         1.         1.         0.97209798 0.93902821
 0.89011473 0.83648061 0.70044536 0.57623507 0.439219   0.35696521
 0.27090132 0.18462852 0.14193153]"
reaction_time:300ship_height:1000,"[1.         1.         1.         1.         0.99677083 0.97139531
 0.94238805 0.90764878 0.81121473 0.69799408 0.60148299 0.50550712
 0.40233558 0.29470086 0.20762031]"
reaction_time:300ship_height:1500,"[1.         1.         1.         1.         1.         0.99011568
 0.97200856 0.93129354 0.91628901 0.8474743  0.76393657 0.63727072
 0.51944418 0.42678237 0.31587563]"
reaction_time:300ship_height:2000,"[1.         1.         1.         1.         0.99616477 0.99108118
 0.98321681 0.96537368 0.94345557 0.90336207 0.88117384 0.77906813
 0.70223567 0.57726647 0.50209106]"
reaction_time:300ship_height:3000,"[1.         1.         1.         1.         1.         0.99782609
 0.99653541 0.98472553 0.97348818 0.96524811 0.95642442 0.92323301
 0.87816265 0.83158287 0.7595406 ]"
reaction_time:600ship_height:500,"[1.         1.         0.98174908 0.91356821 0.77849679 0.48244631
 0.30659647 0.14557863 0.08838515 0.05052677 0.01806237 0.01166576
 0.00325722 0.00192504 0.        ]"
reaction_time:600ship_height:1000,"[1.         1.         1.         0.93951466 0.82243978 0.66457627
 0.42157093 0.25869508 0.12594909 0.06701649 0.04317286 0.01884588
 0.01080371 0.00210121 0.00127447]"
reaction_time:600ship_height:1500,"[1.         1.         0.99375    0.97984139 0.91022944 0.78276335
 0.57263955 0.35743238 0.20406657 0.11105077 0.05581706 0.02914763
 0.01370195 0.00742558 0.00468438]"
reaction_time:600ship_height:2000,"[1.         1.         1.         0.98874414 0.96424392 0.8922931
 0.71396888 0.51626904 0.34320444 0.21159515 0.14725031 0.1070022
 0.08459347 0.07443916 0.06629515]"
reaction_time:600ship_height:3000,"[1.         1.         1.         1.         0.99100999 0.96489615
 0.90344971 0.80149026 0.6338237  0.44352098 0.3217297  0.22525938
 0.20081536 0.17638088 0.16131473]"
