reaction_time:60ship_height:500,"[       nan 0.         0.         0.         0.         0.
 0.         0.01362156 0.01836073 0.02321124 0.03615953 0.03274761
 0.03432173 0.03641403 0.02789581]"
reaction_time:60ship_height:1000,"[0.         0.         0.         0.         0.         0.03632416
 0.         0.01362156 0.0155675  0.00990659 0.01596845 0.03044142
 0.03015239 0.03184064 0.03446838]"
reaction_time:60ship_height:1500,"[0.         0.         0.         0.         0.         0.
 0.03632416 0.         0.01210805 0.01362156 0.01674691 0.03426442
 0.01294271 0.02052061 0.0260725 ]"
reaction_time:60ship_height:2000,"[       nan 0.         0.         0.         0.         0.
 0.         0.02179449 0.         0.0182904  0.01280817 0.01712862
 0.01842582 0.00709694 0.01550209]"
reaction_time:60ship_height:3000,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.01141279 0.01508378 0.00518917]"
reaction_time:300ship_height:500,"[0.         0.         0.         0.         0.03984182 0.04540813
 0.05040045 0.0443665  0.0511332  0.04383165 0.06490475 0.04637172
 0.04079913 0.0365606  0.03249082]"
reaction_time:300ship_height:1000,"[0.         0.         0.         0.         0.0096931  0.0399122
 0.04301406 0.03875358 0.05689469 0.05508332 0.04767003 0.04674467
 0.03935611 0.03714358 0.0287428 ]"
reaction_time:300ship_height:1500,"[0.         0.         0.         0.         0.         0.02201047
 0.02525084 0.04075993 0.03216932 0.03551611 0.04463973 0.05991027
 0.03370425 0.04268747 0.03438035]"
reaction_time:300ship_height:2000,"[0.         0.         0.         0.         0.01172284 0.01510718
 0.02138774 0.02887654 0.02837334 0.02481272 0.05135034 0.04207147
 0.05225057 0.0424639  0.05309519]"
reaction_time:300ship_height:3000,"[0.         0.         0.         0.         0.         0.00947587
 0.00848809 0.01601421 0.02320696 0.02451243 0.02346584 0.01787827
 0.03163154 0.03136444 0.02769877]"
reaction_time:600ship_height:500,"[0.         0.         0.03951816 0.05207587 0.07030194 0.08716089
 0.07918516 0.03377826 0.0344857  0.02032826 0.01277264 0.00714826
 0.0047197  0.0031579  0.        ]"
reaction_time:600ship_height:1000,"[0.         0.         0.         0.05857111 0.06191    0.09175389
 0.05762558 0.04832726 0.03440668 0.02184197 0.0182816  0.01054244
 0.00652165 0.00353466 0.00235519]"
reaction_time:600ship_height:1500,"[0.         0.         0.02724312 0.03218817 0.05875669 0.05871691
 0.06147962 0.05913754 0.03502935 0.02867097 0.01943438 0.01664618
 0.00812713 0.00627306 0.00501116]"
reaction_time:600ship_height:2000,"[0.         0.         0.         0.02011355 0.02960266 0.04836483
 0.07003791 0.05053715 0.04409946 0.02891134 0.03568203 0.02348754
 0.01778899 0.01612264 0.01542911]"
reaction_time:600ship_height:3000,"[0.         0.         0.         0.         0.01853051 0.02379015
 0.03753086 0.04358317 0.06088304 0.04031123 0.02621585 0.02775274
 0.02759367 0.02328244 0.01441521]"
