reaction_time:60ship_height:500,"[       nan 1.         1.         1.         1.         1.
 0.99285714 0.98785714 0.98872549 0.99258242 0.98620546 0.97538294
 0.97624678 0.96648903 0.97210599]"
reaction_time:60ship_height:1000,"[1.         1.         1.         1.         1.         1.
 1.         0.97111111 0.99354167 0.99261218 0.98233737 0.97335963
 0.98388237 0.98235037 0.9638422 ]"
reaction_time:60ship_height:1500,"[1.         1.         1.         1.         1.         1.
 0.98455882 1.         0.99375    0.99307359 0.995      0.98461793
 0.98346021 0.99522321 0.9767182 ]"
reaction_time:60ship_height:2000,"[1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.98948718 0.99467787 0.99268909
 0.992133   0.98729911 0.98077616]"
reaction_time:60ship_height:3000,"[1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.99705882 0.99705882 0.99722222
 0.98993653 0.99092204 0.98412317]"
reaction_time:300ship_height:500,"[1.         1.         1.         0.98615385 0.98036713 0.96442087
 0.91727908 0.84913105 0.79655676 0.62529299 0.56205445 0.45223394
 0.34824933 0.2781723  0.19449224]"
reaction_time:300ship_height:1000,"[1.         1.         1.         0.99449405 0.9863917  0.96839099
 0.93486906 0.88784273 0.8505726  0.80719143 0.70185518 0.58836211
 0.47665512 0.3735318  0.29921331]"
reaction_time:300ship_height:1500,"[1.         1.         1.         1.         0.99181418 0.9800901
 0.96350965 0.94331025 0.89699862 0.87429283 0.80099373 0.70575798
 0.62008274 0.52498185 0.41696489]"
reaction_time:300ship_height:2000,"[1.         1.         1.         1.         0.99557692 0.9926518
 0.97817827 0.95201789 0.93754613 0.90764908 0.8803759  0.80941945
 0.76640529 0.68951515 0.5904011 ]"
reaction_time:300ship_height:3000,"[1.         1.         1.         1.         1.         0.99304211
 0.99563043 0.98568499 0.97380026 0.96374644 0.94976904 0.90995235
 0.90118726 0.85100922 0.81986903]"
reaction_time:600ship_height:500,"[1.         1.         0.99705882 0.94345716 0.77096184 0.57132706
 0.37508246 0.20856119 0.11122419 0.07151481 0.03612228 0.01603044
 0.00951929 0.00257524 0.        ]"
reaction_time:600ship_height:1000,"[1.         1.         0.99761905 0.97171201 0.88270823 0.71111528
 0.53304215 0.30638415 0.18797019 0.09910397 0.04986251 0.02735438
 0.01384497 0.00788003 0.00174973]"
reaction_time:600ship_height:1500,"[1.         1.         1.         0.98111009 0.95609996 0.83025186
 0.6750187  0.4441751  0.27764495 0.14737366 0.09145994 0.03986426
 0.0190892  0.00969485 0.00302233]"
reaction_time:600ship_height:2000,"[1.         1.         1.         0.98078049 0.97598687 0.89844826
 0.78626233 0.57955462 0.44357934 0.29593645 0.20120936 0.15154515
 0.11304431 0.10824874 0.11035058]"
reaction_time:600ship_height:3000,"[1.         1.         1.         0.99761905 0.99311349 0.96149568
 0.91558343 0.8471587  0.70691347 0.55939339 0.42698587 0.32150431
 0.2609725  0.22887888 0.21734399]"
