reaction_time:60ship_height:500,"[       nan 0.         0.         0.         0.         0.
 0.03113499 0.03705346 0.03787855 0.0222697  0.02969689 0.03470928
 0.02910899 0.03877595 0.04097253]"
reaction_time:60ship_height:1000,"[0.         0.         0.         0.         0.         0.
 0.         0.06059377 0.0193862  0.01778354 0.02844952 0.03555892
 0.02354271 0.01938221 0.0381685 ]"
reaction_time:60ship_height:1500,"[0.         0.         0.         0.         0.         0.
 0.05531347 0.         0.02724312 0.02187754 0.02179449 0.03356391
 0.02350558 0.01142814 0.03357426]"
reaction_time:60ship_height:2000,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.03277541 0.01606437 0.01466615
 0.01605027 0.01810167 0.02077055]"
reaction_time:60ship_height:3000,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.01282029 0.01282029 0.01210805
 0.02637603 0.02081324 0.02614656]"
reaction_time:300ship_height:500,"[0.         0.         0.         0.04587093 0.03118983 0.03840948
 0.03488932 0.04315587 0.06169022 0.04681801 0.05987247 0.03439863
 0.04103592 0.03910358 0.02627611]"
reaction_time:300ship_height:1000,"[0.         0.         0.         0.01668459 0.02224697 0.03112379
 0.04307606 0.05529776 0.05121532 0.06326389 0.03872254 0.04515144
 0.03483573 0.03751535 0.04184546]"
reaction_time:300ship_height:1500,"[0.         0.         0.         0.         0.01673715 0.01929404
 0.03083704 0.0292647  0.03606932 0.04327452 0.04896875 0.05291951
 0.06061129 0.03979145 0.04014102]"
reaction_time:300ship_height:2000,"[0.         0.         0.         0.         0.01339406 0.01892413
 0.03082313 0.03273876 0.02686554 0.03284687 0.04143551 0.03250796
 0.04149487 0.03870655 0.05037705]"
reaction_time:300ship_height:3000,"[0.         0.         0.         0.         0.         0.01526857
 0.00890597 0.01463295 0.01725731 0.01944239 0.02606255 0.04244404
 0.03302733 0.04082775 0.0452712 ]"
reaction_time:600ship_height:500,"[0.         0.         0.01282029 0.05204358 0.08152887 0.07547983
 0.07136235 0.03901748 0.02704711 0.02843488 0.01635977 0.00799228
 0.00559409 0.00351301 0.        ]"
reaction_time:600ship_height:1000,"[0.         0.         0.01037833 0.03934628 0.07036518 0.09026546
 0.07700868 0.05242634 0.03088941 0.02872997 0.01806964 0.0133608
 0.00621776 0.00481113 0.00263336]"
reaction_time:600ship_height:1500,"[0.         0.         0.         0.03912766 0.02831779 0.07093379
 0.07967234 0.05163718 0.0451993  0.03579162 0.0233163  0.013791
 0.0110897  0.00771356 0.00278986]"
reaction_time:600ship_height:2000,"[0.         0.         0.         0.025555   0.02120384 0.04026464
 0.05908482 0.06577294 0.04046887 0.03593146 0.03111181 0.02940304
 0.02549827 0.02160464 0.01586038]"
reaction_time:600ship_height:3000,"[0.         0.         0.         0.01037833 0.01244372 0.03115959
 0.040219   0.0371028  0.06971273 0.05035317 0.03868464 0.04002307
 0.03059153 0.02566009 0.02690743]"
