reaction_time:60ship_height:500,"[       nan 1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         0.99878049 1.        ]"
reaction_time:60ship_height:1000,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
reaction_time:60ship_height:1500,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
reaction_time:60ship_height:2000,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
reaction_time:60ship_height:3000,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
reaction_time:300ship_height:500,"[1.         1.         1.         1.         1.         1.
 0.99831034 0.98804236 0.96892568 0.9123061  0.82004348 0.69683885
 0.57698325 0.4345926  0.34870984]"
reaction_time:300ship_height:1000,"[1.         1.         1.         1.         1.         1.
 1.         0.99919355 0.99385642 0.97894012 0.9400833  0.85725768
 0.73288261 0.61466976 0.48612426]"
reaction_time:300ship_height:1500,"[1.         1.         1.         1.         1.         1.
 1.         0.99888889 1.         0.99342186 0.98472019 0.94874552
 0.895642   0.7682564  0.65430283]"
reaction_time:300ship_height:2000,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.99916667 1.         0.99629525 0.99081557
 0.96839138 0.91266456 0.85282318]"
reaction_time:300ship_height:3000,"[1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         0.99951923 0.99951923
 0.99838316 0.99508975 0.9806646 ]"
reaction_time:600ship_height:500,"[1.         1.         1.         1.         0.96777871 0.86445062
 0.58919061 0.38255307 0.20272969 0.11776648 0.06365675 0.0314424
 0.01183036 0.00410849 0.        ]"
reaction_time:600ship_height:1000,"[1.         1.         1.         1.         0.99535091 0.94727565
 0.77111583 0.50352235 0.29883555 0.18448002 0.09399547 0.04822406
 0.01875132 0.00963228 0.0032634 ]"
reaction_time:600ship_height:1500,"[1.         1.         1.         1.         1.         0.98579417
 0.90910888 0.688379   0.44871603 0.27639555 0.13872464 0.06924361
 0.04296499 0.01689837 0.00810959]"
reaction_time:600ship_height:2000,"[1.         1.         1.         1.         1.         0.998191
 0.97315055 0.8694565  0.69178729 0.468303   0.32979364 0.25537779
 0.21423273 0.19023022 0.17387493]"
reaction_time:600ship_height:3000,"[1.         1.         1.         1.         1.         1.
 1.         0.99067945 0.93659642 0.80059894 0.64676684 0.51747636
 0.45028356 0.41477356 0.36969602]"
