reaction_time:60ship_height:500,"[       nan 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.00531573 0.        ]"
reaction_time:60ship_height:1000,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
reaction_time:60ship_height:1500,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
reaction_time:60ship_height:2000,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
reaction_time:60ship_height:3000,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
reaction_time:300ship_height:500,"[0.         0.         0.         0.         0.         0.
 0.00510718 0.01414002 0.02178326 0.03450323 0.04239527 0.04171134
 0.03887165 0.03597656 0.03596692]"
reaction_time:300ship_height:1000,"[0.         0.         0.         0.         0.         0.
 0.         0.00351524 0.00645494 0.01540802 0.02229012 0.02728949
 0.03391198 0.04183678 0.02883436]"
reaction_time:300ship_height:1500,"[0.         0.         0.         0.         0.         0.
 0.         0.00484322 0.         0.00718853 0.01121161 0.01801035
 0.01960529 0.032057   0.02240542]"
reaction_time:300ship_height:2000,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.00363242 0.         0.00720101 0.01108088
 0.0135337  0.02224518 0.03002998]"
reaction_time:300ship_height:3000,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.00209562 0.00209562
 0.00399644 0.00560645 0.00771064]"
reaction_time:600ship_height:500,"[0.         0.         0.         0.         0.03778052 0.04644525
 0.05810425 0.0545811  0.03706186 0.0348814  0.0220502  0.01413716
 0.00942484 0.00529373 0.        ]"
reaction_time:600ship_height:1000,"[0.         0.         0.         0.         0.00942607 0.02763625
 0.04430773 0.04213248 0.04407722 0.02068486 0.01968961 0.01325375
 0.00934701 0.00603179 0.00236345]"
reaction_time:600ship_height:1500,"[0.         0.         0.         0.         0.         0.0148172
 0.03399623 0.04109791 0.03935909 0.03388108 0.02180971 0.01933728
 0.01299691 0.00724261 0.00513781]"
reaction_time:600ship_height:2000,"[0.         0.         0.         0.         0.         0.00543897
 0.02187294 0.04969723 0.04326212 0.04530816 0.04901561 0.03147071
 0.02954528 0.02506899 0.02001492]"
reaction_time:600ship_height:3000,"[0.         0.         0.         0.         0.         0.
 0.         0.00866351 0.0260138  0.04007568 0.04308455 0.03664416
 0.03377674 0.04017811 0.02745784]"
