Case Description,Case #,epoch number,run time (s),grid width (m),ship height (m),ship number,ship speeds (m/s),ship heading (deg),angle of detection (deg),data detection function,ship reaction time #1 (s),ship reaction time #2 (s),whale number,mean whale velocity (m/s),std whale velocity (m/s),Interval btw blows (s),All whales blow,All whales surface,All whales subsurface,All whales deep,dive profile mode,plot probabilities,plot world,ETA display,Keep?
SC_Allblowing,case1,2,2000,4000,"1500,3000",3,"1,2,3,4,5,6,7,8",90,20,0,60,120,100,0,0,60,1,0,0,0,mixed,1,1,0,
SC_Allsurf,case2,2,2000,4000,"1500,3000",3,"1,2,3,4,5,6,7,8",90,20,0,60,120,100,0,0,60,0,1,0,0,mixed,1,1,0,
SC_Allsub,case3,2,2000,4000,"1500,3000",3,"1,2,3,4,5,6,7,8",90,20,0,60,120,100,0,0,60,0,0,1,0,mixed,1,1,0,
SC_Alldeep,case4,2,2000,4000,"1500,3000",3,"1,2,3,4,5,6,7,8",90,20,0,60,120,100,0,0,60,0,0,0,1,mixed,1,1,0,
WhaleSpeed_0,case5,2,2000,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8",90,20,1,60,120,100,0,0,60,0,0,0,0,mixed,1,1,0,K
WhaleSpeed_1,case6,2,2000,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8",90,20,1,60,120,100,1,0.2,60,0,0,0,0,mixed,1,1,0,K
WhaleSpeed_2,case7,2,2000,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8",90,20,1,60,120,100,2,0.2,60,0,0,0,0,mixed,1,1,0,K
WhaleSpeed_3,case8,2,2000,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8",90,20,1,60,120,100,3,0.2,60,0,0,0,0,mixed,1,1,0,K
IBI_15_RDR_mixed,case9,2,2000,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8",90,20,0,60,120,100,1,0.2,15,0,0,0,0,mixed,1,1,0,K
IBI_30_RDR_mixed,case10,2,2000,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8",90,20,0,60,120,100,1,0.2,30,0,0,0,0,mixed,1,1,0,K
IBI_60_RDR_mixed,case11,2,2000,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8",90,20,0,60,120,100,1,0.2,60,0,0,0,0,mixed,1,1,0,K
IBI_120_RDR_mixed,case12,2,2000,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8",90,20,0,60,120,100,1,0.2,120,0,0,0,0,mixed,1,1,0,K
IBI_15_DDF_mixed,case13,2,2000,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8",90,20,1,60,120,100,1,0.2,15,0,0,0,0,mixed,1,1,0,K
IBI_30_DDF_mixed,case14,2,2000,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8",90,20,1,60,120,100,1,0.2,30,0,0,0,0,mixed,1,1,0,K
IBI_60_DDF_mixed,case15,2,2000,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8",90,20,1,60,120,100,1,0.2,60,0,0,0,0,mixed,1,1,0,K
IBI_120_DDF_mixed,case16,2,2000,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8",90,20,1,60,120,100,1,0.2,120,0,0,0,0,mixed,1,1,0,K
IBI_15_RDR_shallow,case17,2,2000,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8",90,20,0,60,120,100,1,0.2,15,0,0,0,0,shallow,1,1,0,K
IBI_30_RDR_shallow,case18,2,2000,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8",90,20,0,60,120,100,1,0.2,30,0,0,0,0,shallow,1,1,0,K
IBI_60_RDR_shallow,case19,2,2000,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8",90,20,0,60,120,100,1,0.2,60,0,0,0,0,shallow,1,1,0,K
IBI_120_RDR_shallow,case20,2,2000,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8",90,20,0,60,120,100,1,0.2,120,0,0,0,0,shallow,1,1,0,K
IBI_15_DDF_shallow,case21,2,2000,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8",90,20,1,60,120,100,1,0.2,15,0,0,0,0,shallow,1,1,0,K
IBI_30_DDF_shallow,case22,2,2000,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8",90,20,1,60,120,100,1,0.2,30,0,0,0,0,shallow,1,1,0,K
IBI_60_DDF_shallow,case23,2,2000,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8",90,20,1,60,120,100,1,0.2,60,0,0,0,0,shallow,1,1,0,K
IBI_120_DDF_shallow,case24,2,2000,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8",90,20,1,60,120,100,1,0.2,120,0,0,0,0,shallow,1,1,0,K
IBI_15_RDR_deep,case25,2,2000,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8",90,20,0,60,120,100,1,0.2,15,0,0,0,0,deep,1,1,0,K
IBI_30_RDR_deep,case26,2,2000,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8",90,20,0,60,120,100,1,0.2,30,0,0,0,0,deep,1,1,0,K
IBI_60_RDR_deep,case27,2,2000,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8",90,20,0,60,120,100,1,0.2,60,0,0,0,0,deep,1,1,0,K
IBI_120_RDR_deep,case28,2,2000,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8",90,20,0,60,120,100,1,0.2,120,0,0,0,0,deep,1,1,0,K
IBI_15_DDF_deep,case29,2,2000,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8",90,20,1,60,120,100,1,0.2,15,0,0,0,0,deep,1,1,0,K
IBI_30_DDF_deep,case30,2,2000,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8",90,20,1,60,120,100,1,0.2,30,0,0,0,0,deep,1,1,0,K
IBI_60_DDF_deep,case31,2,2000,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8",90,20,1,60,120,100,1,0.2,60,0,0,0,0,deep,1,1,0,K
IBI_120_DDF_deep,case32,2,2000,4000,"500,1000,1500,2000,3000",3,"1,2,3,4,5,6,7,8",90,20,1,60,120,100,1,0.2,120,0,0,0,0,deep,1,1,1,K
